Date,File Name,Position Type,Ticker,Ratio,Current Price,Reference Price,Average
2012-11-27,Big_100_1_LONG_SHORT_F.pdf,L,GOOG,1.053,695.0,660.17,1.053
2012-11-27,Big_100_1_LONG_SHORT_F.pdf,S,AAPL,0.987,581.8,589.55,0.987
2012-11-27,Big_100_2_LONG_SHORT_F.pdf,L,DIS,1.004,49.25,49.06,1.028
2012-11-27,Big_100_2_LONG_SHORT_F.pdf,L,GOOG,1.053,695.0,660.17,1.028
2012-11-27,Big_100_2_LONG_SHORT_F.pdf,S,AAPL,0.987,581.8,589.55,1.013
2012-11-27,Big_100_2_LONG_SHORT_F.pdf,S,FB,1.039,27.06,26.04,1.013
2012-11-27,Big_100_5_LONG_SHORT_F.pdf,L,CAT,0.995,84.05,84.5,1.008
2012-11-27,Big_100_5_LONG_SHORT_F.pdf,L,DIS,1.004,49.25,49.06,1.008
2012-11-27,Big_100_5_LONG_SHORT_F.pdf,L,FCX,0.985,38.16,38.73,1.008
2012-11-27,Big_100_5_LONG_SHORT_F.pdf,L,GOOG,1.053,695.0,660.17,1.008
2012-11-27,Big_100_5_LONG_SHORT_F.pdf,L,UNP,1.003,121.63,121.25,1.008
2012-11-27,Big_100_5_LONG_SHORT_F.pdf,S,AAPL,0.987,581.8,589.55,0.996
2012-11-27,Big_100_5_LONG_SHORT_F.pdf,S,BA,0.997,73.89,74.12,0.996
2012-11-27,Big_100_5_LONG_SHORT_F.pdf,S,C,0.961,34.13,35.53,0.996
2012-11-27,Big_100_5_LONG_SHORT_F.pdf,S,FB,1.039,27.06,26.04,0.996
2012-11-27,Big_100_5_LONG_SHORT_F.pdf,S,KO,0.997,37.31,37.44,0.996
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,L,AIG,1.011,33.22,32.86,1.012
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,L,CAT,0.995,84.05,84.5,1.012
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,L,COST,1.086,104.55,96.3,1.012
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,L,DIS,1.004,49.25,49.06,1.012
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,L,FCX,0.985,38.16,38.73,1.012
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,L,GOOG,1.053,695.0,660.17,1.012
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,L,IBM,0.988,189.71,192.08,1.012
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,L,OXY,0.978,73.33,74.95,1.012
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,L,UBS,1.019,15.75,15.45,1.012
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,L,UNP,1.003,121.63,121.25,1.012
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,S,AAPL,0.987,581.8,589.55,1.003
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,S,BA,0.997,73.89,74.12,1.003
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,S,BAX,0.987,65.6,66.49,1.003
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,S,C,0.961,34.13,35.53,1.003
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,S,CVS,1.02,46.31,45.39,1.003
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,S,DB,1.034,45.19,43.69,1.003
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,S,FB,1.039,27.06,26.04,1.003
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,S,KO,0.997,37.31,37.44,1.003
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,S,MA,1.016,487.63,480.09,1.003
2012-11-27,Big_100_10_LONG_SHORT_F.pdf,S,XOM,0.988,87.38,88.4,1.003
2012-11-27,Big_500_5_LONG_SHORT_F.pdf,S,AAPL,0.987,581.8,589.55,1.012
2012-11-27,Big_500_5_LONG_SHORT_F.pdf,S,KORS,1.038,53.19,51.25,1.012
2012-11-27,Big_500_5_LONG_SHORT_F.pdf,S,MRO,0.991,30.61,30.9,1.012
2012-11-27,Big_500_5_LONG_SHORT_F.pdf,S,PCP,1.018,181.55,178.27,1.012
2012-11-27,Big_500_5_LONG_SHORT_F.pdf,S,SBAC,1.028,69.12,67.25,1.012
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,L,DGX,1.012,57.68,57.02,1.018
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,L,DIS,1.004,49.25,49.06,1.018
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,L,ETE,1.008,45.23,44.85,1.018
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,L,GOOG,1.053,695.0,660.17,1.018
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,L,JWN,0.992,53.64,54.1,1.018
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,L,KMI,1.004,33.8,33.65,1.018
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,L,STJ,1.049,33.6,32.03,1.018
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,L,SYMC,1.019,18.66,18.31,1.018
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,L,WFT,1.047,10.27,9.81,1.018
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,L,WU,0.993,12.64,12.73,1.018
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,S,AAPL,0.987,581.8,589.55,1.017
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,S,AFL,1.017,52.7,51.82,1.017
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,S,CRM,0.998,157.04,157.38,1.017
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,S,FB,1.039,27.06,26.04,1.017
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,S,KORS,1.038,53.19,51.25,1.017
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,S,MRO,0.991,30.61,30.9,1.017
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,S,PCLN,1.042,665.5,638.86,1.017
2012-11-27,Big_500_10_LONG_SHORT_F.pdf,S,PCP,1.018,181.55,178.27,1.017
